level,word,part_of_speech,definition,synonyms,more_synonyms
11,interval,n,a definite length of time marked off by two instants,"time interval, interval","break, period, space, interruption, ending, break"
11,intervention,n,"the act of intervening (as to mediate a dispute, etc.)","intervention, intercession","power, physical assault, situation, obstruction, meddling, intervention"
11,inventory,n,a detailed list of all the items in stock,"inventory, stock list","stock, finances, accumulation, list, written or printed matter featuring a selection of objects, document"
11,investigate,v,investigate scientifically,"investigate, look into","check, examine, question, analyze, inspect, poll"
11,involvement,n,the act of sharing in the activities of a group,"engagement, participation, involvement, involution","engrossment, action for change, complicatedness, conspiracy, business, complication"
11,isolate,v,place or set apart,"isolate, insulate","cut off, extract, expel, interrupt, assign time, disconnect"
11,judgment,n,an opinion formed by judging something,"judgment, judgement, mind","sense, decision, fate, day of reckoning, day of God's judgment of the human race, good judgment"
11,jurisdiction,n,(law) the right and power to interpret and apply the law,"legal power, jurisdiction","authority, management, power, rule, mastery, expertise"
11,kernel,n,the inner and usually edible part of a seed or grain or nut or fruit stone,"kernel, meat","seed, fruit, middle, center, meaning, significance"
11,lecture,n,a speech that is open to the public,"lecture, public lecture, talk","lesson, criticism, give speech, criticize, speech, speak"
11,legacy,n,(law) a gift of personal property by will,"bequest, legacy","heritage, amount, endowment, heritage, gift, possessions"
11,legend,n,a story about mythical or supernatural beings or events,"legend, fable","story, caption, widely distributed untruth, heading, long story, inscription"
11,leisure,n,time available for ease and relaxation,"leisure, leisure time",
11,leisurely,,Synonyms:,"More Synonyms: casual, casually, procrastinating, relaxed, dull, loose","casual, casually, procrastinating, relaxed, dull, loose"
11,liable,adj,at risk of or subject to experiencing something usually unpleasant,"apt, liable","answerable, likely, responsible, responsible, responsible, inclined"
11,liberal,n,a person who favors a political philosophy of progress and reform and the protection of civil liberties,"liberal, liberalist, progressive","progressive, giving, abundant, general knowledge studies, plentiful, ahead"
11,liberty,n,immunity from arbitrary exercise of authority: political independence,"autonomy, liberty","freedom, independence, legal, spare time, facility, freedom"
11,limitation,n,a principle that limits the extent of something,"restriction, limitation","restraint, weapons reduction, forbiddance, difficulty, limit, farthest limit"
11,logic,n,the branch of philosophy that analyzes inference,logic,"reasoning, traditional logic, formal logic, reasoning, sound judgment, to be in a dispute or fight"
11,luck,n,your overall circumstances or condition in life (including everything that happens to you),"fortune, destiny, fate, luck, lot, circumstances, portion","good fortune, chance, stroke of good fortune, rotten break, stroke of luck, good luck"
11,margin,n,the boundary line or the area immediately inside the boundary,"margin, border, perimeter","border, shoreline, edge, limit, limit, farthest limit"
11,mask,,,,
11,mask,v,put a mask on or cover with a mask,mask,"cover, disguise, masquerade ball, cover, screen, cloud"
11,massive,adj,imposing in size or bulk or solidity,"massive, monolithic, monumental","large, huge, large, huge, awkward, huge"
11,mate,v,engage in sexual intercourse,"copulate, mate, pair, couple","partner, marry, friend, one's true love, companion, helper"
11,mechanical,adj,using (or as if using) mechanisms or tools or devices,mechanical,"machinelike, technical drawing, machine-done, machine- done, habitual, gadget"
11,mere,adj,being nothing more than specified,mere,"absolute, simple, limit, not difficult, faÁade, for fun"
11,methodology,n,the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline,"methodology, methodological analysis","methods, arrangement, plan"
11,minimize,v,make small or insignificant,"minimize, minimise","underrate, belittle, detract, diminish, criticize, belittle"
11,mistake,n,a wrong action attributable to bad judgment or ignorance or inattention,"mistake, error, fault","error, mix up, slip up, wrongdoing, by chance, blunder"
11,mistaken,,Synonyms:,"More Synonyms: wrong, wrong, mixed up, do wrong, wrong, FALSE","wrong, wrong, mixed up, do wrong, wrong, FALSE"
11,moderate,,,,
11,mood,n,a characteristic (habitual or relatively temporary) state of feeling,"temper, mood, humor, humour","mind-set, style, mood, outlook, character, change"
11,moral,adj,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,moral,"ethical, lesson, value system, good character, moral beliefs, ethics"
11,mutual,adj,common to or shared by two or more parties,"common, mutual","shared, shared friend, stock or bond fund, shared understanding, bitterness of feeling, two-sided"
11,mystery,n,something that baffles understanding and cannot be explained,"mystery, enigma, secret, closed book","secret, puzzle, ignorance, ignorance, contradiction, puzzle"
11,navigate,v,travel on water propelled by wind or by other means,"voyage, sail, navigate","guide, traverse, sail, direct, maneuver, plan"
11,negotiate,v,discuss the terms of an arrangement,"negociate, negotiate, talk terms","bargain, cross, accomplish, settle, plan, take temporarily"
11,obligation,n,the social force that binds you to the courses of action demanded by that force,"duty, responsibility, obligation","responsibility, happening, loyalty, thankfulness, debt, indebted"
11,occasional,adj,occurring from time to time,occasional,"irregular, chance, intermittent, not many, related, irregular"
11,occupation,n,the principal activity in your life that you do to earn money,,
11,occupy,v,keep busy with,"busy, occupy","busy, reside, seize, entertain, charm, engross"
11,odd,adj,not divisible by two,"odd, uneven","unusual, miscellaneous, uneven, part-time task, person who is very different, eccentric"
11,offset,v,compensate for or counterbalance,"offset, countervail","counterbalance, compensate, equal, equalized, counterbalance, respond"
11,ongoing,adj,currently happening,"ongoing, on-going","continuous, contemporary, growth, unforgettable, existing, unpaid"
11,oppose,v,be against; express opposition to,oppose,"fight, compare, equal, disprove, resist, fight"
11,opt,v,select as an alternative over another,"choose, prefer, opt","choose, take on, to assimilate in order to take over or appropriate, run, select, pick out"
11,orgy,n,any act of immoderate indulgence,"orgy, binge, splurge","celebration, spree, celebration, self-indulgence, binge, gathering"
11,orient,v,be oriented,"orient, point","familiarize, inform, pertain, distort"
11,orientation,n,the act of orienting,orientation,"adjustment, preference of sexual partner, adaptation, position, position, usually of water vehicle, course"
11,outlook,n,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations,"mentality, outlook, mindset, mind-set","point of view, future, scene, purpose, expectation, perspective"
11,oversea,,Synonyms:,More Synonyms:,
11,parallel,adj,being everywhere equidistant and not intersecting,parallel,"aligned, similar, correlation, be alike, longitudinal parking, conform"
