level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
11,concentrate,v,"make denser, stronger, or purer",concentrate,"think, gather, shorten, gather, focus, point","🔑 Remember: 'concentrate' sounds like 'con' and means make denser, stronger, or purer.","Every day we can 'concentrate' when we make denser, stronger, or purer.","During the big game, the team had to ___ if they wanted to make denser, stronger, or purer. Choices: [concentrate, run, jump]"
11,concentration,n,the strength of a solution; number of molecules of a substance in a given volume,concentration,"consolidation, aggregation, prison camp for prisoners of war or political prisoners, engrossment, work, carefulness",🔑 Remember: 'concentration' sounds like 'con' and means the strength of a solution; number of molecules of a substance in a given volume.,"The word 'concentration' is a thing, it means the strength of a solution; number of molecules of a substance in a given volume.","Sara’s teacher asked the class to ___ to show they could the strength of a solution; number of molecules of a substance in a given volume. Choices: [concentration, draw, play]"
11,conclude,v,decide by reasoning; draw or come to a conclusion,"reason, reason out, conclude","finish, decide, settle, succeed, accomplish, coordinate",🔑 Remember: 'conclude' sounds like 'con' and means decide by reasoning; draw or come to a conclusion.,Every day we can 'conclude' when we decide by reasoning; draw or come to a conclusion.,"During the big game, the team had to ___ if they wanted to decide by reasoning; draw or come to a conclusion. Choices: [conclude, run, jump]"
11,concrete,n,a strong hard building material composed of sand and gravel and cement and water,concrete,"factual, hardened, urban area, precise, real, urban area",🔑 Remember: 'concrete' sounds like 'con' and means a strong hard building material composed of sand and gravel and cement and water.,"The word 'concrete' is a thing, it means a strong hard building material composed of sand and gravel and cement and water.","On a rainy day, Mia decided to ___ while she a strong hard building material composed of sand and gravel and cement and water. Choices: [concrete, sleep, laugh]"
11,confidence,n,freedom from doubt; belief in yourself and your abilities,"assurance, self-assurance, confidence, self-confidence, authority, sureness","nerve, hope, con job, con man, self assurance, confidence",🔑 Remember: 'confidence' sounds like 'con' and means freedom from doubt; belief in yourself and your abilities.,"The word 'confidence' is a thing, it means freedom from doubt; belief in yourself and your abilities.","Sara’s teacher asked the class to ___ to show they could freedom from doubt; belief in yourself and your abilities. Choices: [confidence, draw, play]"
11,confuse,v,mistake one thing for another,"confuse, confound","bewilder, mix up, disturb, amaze, perplex, fool",🔑 Remember: 'confuse' sounds like 'con' and means mistake one thing for another.,Every day we can 'confuse' when we mistake one thing for another.,"On a sunny day, Mia decided to ___ while she mistake one thing for another. Choices: [confuse, sleep, laugh]"
11,confuse,v,be confusing or perplexing to; cause to be unable to think clearly,"confuse, throw, fox, befuddle, fuddle, bedevil, confound, discombobulate","bewilder, mix up, disturb, amaze, perplex, fool",🔑 Remember: 'confuse' sounds like 'con' and means be confusing or perplexing to; cause to be unable to think clearly.,Every day we can 'confuse' when we be confusing or perplexing to; cause to be unable to think clearly.,"Sara’s teacher asked the class to ___ to show they could be confusing or perplexing to; cause to be unable to think clearly. Choices: [confuse, draw, play]"
11,consent,n,permission to do something,consent,"agreement, agree, legal age, stand, agree, agreement",🔑 Remember: 'consent' sounds like 'con' and means permission to do something.,"The word 'consent' is a thing, it means permission to do something.","Sara’s teacher asked the class to ___ to show they could permission to do something. Choices: [consent, draw, play]"
11,consequence,n,a phenomenon that follows and is caused by some previous phenomenon,"consequence, effect, outcome, result, event, issue, upshot","result, importance, status, suitably, repercussion, side product",🔑 Remember: 'consequence' sounds like 'con' and means a phenomenon that follows and is caused by some previous phenomenon.,"The word 'consequence' is a thing, it means a phenomenon that follows and is caused by some previous phenomenon.","Tom found a magic box that could ___ when he a phenomenon that follows and is caused by some previous phenomenon. Choices: [consequence, dance, eat]"
11,conservation,n,an occurrence of improvement by virtue of preventing loss or injury or other change,"conservation, preservation","preservation, supervision, environmental science, economizing, sustenance, protection",🔑 Remember: 'conservation' sounds like 'con' and means an occurrence of improvement by virtue of preventing loss or injury or other change.,"The word 'conservation' is a thing, it means an occurrence of improvement by virtue of preventing loss or injury or other change.","Sara’s teacher asked the class to ___ to show they could an occurrence of improvement by virtue of preventing loss or injury or other change. Choices: [conservation, draw, play]"
11,conservative,adj,resistant to change,conservative,"moderate, moderate, commonplace, cautious, unoriginal, protective",🔑 Remember: 'conservative' sounds like 'con' and means resistant to change.,My dog is 'conservative' because it is resistant to change.,"Sara’s teacher asked the class to ___ to show they could resistant to change. Choices: [conservative, draw, play]"
11,considerable,adj,large or relatively large in number or amount or extent or degree,considerable,"abundant, important, huge, large, important, significant",🔑 Remember: 'considerable' sounds like 'con' and means large or relatively large in number or amount or extent or degree.,My dog is 'considerable' because it is large or relatively large in number or amount or extent or degree.,"On a snowy day, Mia decided to ___ while she large or relatively large in number or amount or extent or degree. Choices: [considerable, sleep, laugh]"
11,console,v,give moral or emotional strength to,"comfort, soothe, console, solace","comfort, please, calm, console, calm, instrument panel",🔑 Remember: 'console' sounds like 'con' and means give moral or emotional strength to.,Every day we can 'console' when we give moral or emotional strength to.,"In the middle of the forest, animals love to ___ because they give moral or emotional strength to. Choices: [console, hide, sing]"
11,consolidate,v,unite into one,consolidate,"combine, blend, group, concentrate, concentrate, clot",🔑 Remember: 'consolidate' sounds like 'con' and means unite into one.,Every day we can 'consolidate' when we unite into one.,"Sara’s teacher asked the class to ___ to show they could unite into one. Choices: [consolidate, draw, play]"
